countryName,year,sector,CO2EmsnKiloTons 
Australia & New Zealand,2009,TransportTonnes,94753.2693
Australia & New Zealand,2010,TransportTonnes,94926.2277
Australia & New Zealand,2011,TransportTonnes,0
Australia & New Zealand,2012,TransportTonnes,0
Australia & New Zealand,2013,TransportTonnes,0
Australia & New Zealand,2014,TransportTonnes,0
Australia & New Zealand,2030,TransportTonnes,0
Australia & New Zealand,2050,TransportTonnes,0
Europe,1961,TransportTonnes,0
Europe,1962,TransportTonnes,0
Europe,1963,TransportTonnes,0
Europe,1964,TransportTonnes,0
Europe,1965,TransportTonnes,0
Europe,1966,TransportTonnes,0
Europe,1967,TransportTonnes,0
Europe,1968,TransportTonnes,0
Europe,1969,TransportTonnes,0
Europe,1970,TransportTonnes,0
Europe,1971,TransportTonnes,0
Europe,1972,TransportTonnes,0
Europe,1973,TransportTonnes,0
Europe,1974,TransportTonnes,0
Europe,1975,TransportTonnes,0
Europe,1976,TransportTonnes,0
Europe,1977,TransportTonnes,0
Europe,1978,TransportTonnes,0
Europe,1979,TransportTonnes,0
Europe,1980,TransportTonnes,0
Europe,1981,TransportTonnes,0
Europe,1982,TransportTonnes,0
Europe,1983,TransportTonnes,0
Europe,1984,TransportTonnes,0
Europe,1985,TransportTonnes,0
Europe,1986,TransportTonnes,0
Europe,1987,TransportTonnes,0
Europe,1988,TransportTonnes,0
Europe,1989,TransportTonnes,0
Europe,1990,TransportTonnes,1220885.347
Europe,1991,TransportTonnes,1234760.79
Europe,1992,TransportTonnes,1174572.394
Europe,1993,TransportTonnes,1126560.341
Europe,1994,TransportTonnes,1096668.351
Europe,1995,TransportTonnes,1087238.669
Europe,1996,TransportTonnes,1103540.045
Europe,1997,TransportTonnes,1108628.569
Europe,1998,TransportTonnes,1165983.345
Europe,1999,TransportTonnes,1182155.446
Europe,2000,TransportTonnes,1173981.399
Europe,2001,TransportTonnes,1193415.186
Europe,2002,TransportTonnes,1219044.656
Europe,2003,TransportTonnes,1237962.497
