countryName,year,CO2EmsnPerCapita,GDPPerCapita_2011USDValue,Population,GdpPercap_100USD
Sweden,1862,0.254074509,1916,3879240,19.16
United States,1862,1.409261156,3459,33669274,34.59
Sweden,1863,0.251768108,1999,3914777,19.99
United States,1863,1.587018328,3683,34536322,36.83
Sweden,1864,0.26242486,2035,3951272,20.35
United States,1864,1.656545974,3804,35409205,38.04
Sweden,1865,0.271034459,2070,3987980,20.7
United States,1865,1.620557788,3607,36297290,36.07
Sweden,1866,0.276764527,2036,4024562,20.36
United States,1866,1.592426154,3579,37196214,35.79
Sweden,1867,0.255323906,2066,4061163,20.66
United States,1867,1.912204162,3697,38105747,36.97
Sweden,1868,0.298596073,1881,4098433,18.81
United States,1868,2.110190272,3745,39025895,37.45
Sweden,1869,0.263089526,2015,4136265,20.15
United States,1869,2.344932769,3845,39956714,38.45
China,1870,0,754,365702662,7.54
India,1870,0,710,213725048,7.1
Sweden,1870,0.321252214,2272,4174365,22.72
United States,1870,2.411301472,3736,40899168,37.36
Sweden,1871,0.340184237,2351,4211318,23.51
United States,1871,2.460836557,3825,41864092,38.25
Sweden,1872,0.402989268,2393,4245989,23.93
United States,1872,2.947556854,3883,42850881,38.83
Sweden,1873,0.405761332,2421,4280191,24.21
United States,1873,3.186579867,3980,43779477,39.8
Sweden,1874,0.434078938,2512,4313280,25.12
United States,1874,2.997368966,3862,44804825,38.62
Sweden,1875,0.52363311,2423,4345302,24.23
United States,1875,2.960408232,3971,45854330,39.71
Sweden,1876,0.555072868,2576,4376420,25.76
United States,1876,2.830289355,3928,46928064,39.28
Sweden,1877,0.583702044,2518,4406577,25.18
United States,1877,3.069742921,3966,47943934,39.66
Sweden,1878,0.491258954,2428,4437741,24.28
United States,1878,2.932575141,4044,49070729,40.44
Sweden,1879,0.495082853,2562,4470072,25.62
United States,1879,3.493756449,4446,50223581,44.46
Sweden,1880,0.62814753,2501,4503095,25.01
United States,1880,3.86526974,4866,51402380,48.66
Sweden,1881,0.606291038,2591,4538520,25.91
United States,1881,4.000986614,4914,52535214,49.14
Sweden,1882,0.688914615,2495,4568601,24.95
United States,1882,4.379613998,5101,53747586,51.01
Sweden,1883,0.699683456,2684,4597782,26.84
United States,1883,4.617916822,5102,54977652,51.02
India,1884,0.013161737,733,226881902,7.33
Sweden,1884,0.766914974,2626,4629478,26.26
United States,1884,4.762779031,5074,56183427,50.74
India,1885,0.011834804,754,227862161,7.54
Sweden,1885,0.822447396,2673,4655471,26.73
United States,1885,4.736421879,4997,57461503,49.97
India,1886,0.013224857,729,228846632,7.29
Sweden,1886,0.801458885,2699,4681383,26.99
United States,1886,4.892032546,5034,58761421,50.34
China,1887,0,727,376884992,7.27
India,1887,0.014587256,761,229828015,7.61
Sweden,1887,0.808385612,2619,4704725,26.19
United States,1887,5.116469874,5147,60076634,51.47
India,1888,0.016127757,766,230820932,7.66
Sweden,1888,0.898037506,2662,4728729,26.62
United States,1888,6.089305026,5015,61398560,50.15
India,1889,0.018887566,744,231818115,7.44
Sweden,1889,1.042830941,2701,4753783,27.01
United States,1889,5.349529766,5216,62723605,52.16
China,1890,0,769,381391698,7.69
India,1890,0.020742035,777,232819582,7.77
Sweden,1890,1.034788119,2763,4780109,27.63
United States,1890,6.272216919,5184,64051772,51.84
India,1891,0.022235468,705,233825351,7.05
Sweden,1891,1.098104791,2913,4808124,29.13
United States,1891,6.537227127,5299,65383061,52.99
India,1892,0.024324165,760,234835442,7.6
Sweden,1892,1.085298186,2875,4837852,28.75
United States,1892,6.7515911,5697,66717384,56.97
India,1893,0.025493438,778,235849871,7.78
Sweden,1893,1.084464082,2946,4868602,29.46
United States,1893,6.672475061,5316,68054833,53.16
India,1894,0.025894249,788,236868658,7.88
Sweden,1894,1.202239801,2958,4900613,29.58
United States,1894,6.125039621,5064,69395412,50.64
India,1895,0.032297907,768,237891822,7.68
Sweden,1895,1.207045382,3102,4932706,31.02
United States,1895,6.784839778,5569,70738201,55.69
India,1896,0.034796742,710,238919380,7.1
Sweden,1896,1.239545553,3183,4965949,31.83
United States,1896,6.669541516,5356,72101160,53.56
India,1897,0.037502535,838,239951353,8.38
Sweden,1897,1.370644174,3308,5001549,33.08
United States,1897,6.807557144,5761,73489831,57.61
India,1898,0.041370334,838,240987759,8.38
Sweden,1898,1.448920826,3421,5037327,34.21
United States,1898,7.281166725,5776,74894652,57.76
India,1899,0.045400979,772,242028616,7.72
Sweden,1899,1.800200076,3505,5074076,35.05
United States,1899,8.196028576,6191,76321444,61.91
China,1900,0,776,400774182,7.76
India,1900,0.053692172,797,243073944,7.97
Sweden,1900,1.794330178,3519,5111095,35.19
United States,1900,8.520499593,6252,77781471,62.52
India,1901,0.058969499,809,244123762,8.09
Sweden,1901,1.655456201,3610,5148106,36.1
United States,1901,9.101996686,6822,79271164,68.22
India,1902,0.064755107,871,245171583,8.71
Sweden,1902,1.721525882,3563,5184647,35.63
United States,1902,9.470879873,6756,80720441,67.56
India,1903,0.065652199,878,246230410,8.78
Sweden,1903,1.877941854,3750,5221069,37.5
United States,1903,10.8713219,6955,82271907,69.55
India,1904,0.073059596,877,247293784,8.77
Sweden,1904,1.964016327,3814,5257162,38.14
United States,1904,10.49506126,6739,83870024,67.39
India,1905,0.074382991,856,248361726,8.56
Sweden,1905,1.91963109,3760,5294734,37.6
United States,1905,11.51132952,7094,85524307,70.94
India,1906,0.085564832,875,249434255,8.75
Sweden,1906,2.117154307,4060,5333786,40.6
United States,1906,11.8464934,7762,87227466,77.62
India,1907,0.095073062,817,250502083,8.17
Sweden,1907,2.378484431,4331,5370102,43.31
United States,1907,13.52789963,7740,88838846,77.4
India,1908,0.108310502,824,251583803,8.24
Sweden,1908,2.522088059,4197,5410095,41.97
United States,1908,11.59813858,6970,90615785,69.7
India,1909,0.104161533,931,252670168,9.31
Sweden,1909,2.304402093,4219,5450521,42.19
United States,1909,12.59558317,7668,92361978,76.68
India,1910,0.101259105,927,253761199,9.27
Sweden,1910,2.364729109,4296,5492756,42.96
United States,1910,13.48968281,7586,94088789,75.86
China,1911,0.065025452,722,428238470,7.22
India,1911,0.106388668,919,254854210,9.19
Sweden,1911,2.285699007,4403,5535196,44.03
United States,1911,13.10669357,7711,95858318,77.11
India,1912,0.12196412,917,255954620,9.17
Sweden,1912,2.512234867,4570,5580077,45.7
United States,1912,13.75231577,7948,97526183,79.48
China,1913,0.024574634,786,437748286,7.86
India,1913,0.133892929,895,257205039,8.95
Sweden,1913,2.79977053,4856,5628627,48.56
United States,1913,14.49658916,8101,99341521,81.01
India,1914,0.134243833,943,258607037,9.43
Sweden,1914,2.615960953,4959,5675363,49.59
United States,1914,13.00782965,7334,101146653,73.34
India,1915,0.139440954,919,260162191,9.19
Sweden,1915,2.614703932,5131,5717328,51.31
United States,1915,13.2821373,7434,102789834,74.34
India,1916,0.140147368,945,261726671,9.45
Sweden,1916,2.73778233,5415,5756069,54.15
United States,1916,14.53991678,8342,104282472,83.42
India,1917,0.145683017,927,263300532,9.27
Sweden,1917,1.167730336,5086,5792214,50.86
United States,1917,15.78856723,8020,105675729,80.2
India,1918,0.163001805,808,264771644,8.08
Sweden,1918,1.37507404,4700,5819451,47
United States,1918,16.3563992,8648,106721812,86.48
India,1919,0.176967287,919,266279179,9.19
Sweden,1919,1.314497283,4772,5842343,47.72
United States,1919,13.70562819,8681,107762377,86.81
India,1920,0.142498992,845,267795298,8.45
Sweden,1920,1.771951805,5075,5870417,50.75
United States,1920,15.90766297,8485,109122856,84.85
India,1921,0.152399082,904,269320048,9.04
Sweden,1921,1.017140903,4814,5911299,48.14
United States,1921,12.83083551,8134,110824642,81.34
India,1922,0.149114835,933,270853481,9.33
Sweden,1922,1.669988362,5159,5954590,51.59
United States,1922,12.7186955,8466,112694536,84.66
India,1923,0.152628755,893,272395644,8.93
Sweden,1923,2.018998922,5324,5992340,53.24
United States,1923,16.52795373,9420,114594315,94.2
India,1924,0.162477921,928,273946588,9.28
Sweden,1924,2.396924198,5687,6024314,56.87
United States,1924,14.54644795,9525,116564054,95.25
India,1925,0.159403593,929,275506362,9.29
Sweden,1925,2.130191393,5817,6054517,58.17
United States,1925,14.70083604,9601,118421721,96.01
India,1926,0.158051521,949,277075018,9.49
Sweden,1926,2.061629758,6100,6079920,61
United States,1926,15.72459337,10090,120100754,100.9
India,1927,0.164835725,940,278652604,9.4
Sweden,1927,2.88981634,6298,6099870,62.98
United States,1927,15.1598377,10050,121692507,100.5
India,1928,0.15771825,940,280239174,9.4
Sweden,1928,2.656262349,6478,6116179,64.78
United States,1928,14.83801023,10040,123182716,100.4
China,1929,0.073404396,800,487971645,8
India,1929,0.162806839,969,282507739,9.69
Sweden,1929,3.161010678,6864,6128283,68.64
United States,1929,15.73336884,10543,124597532,105.43
China,1930,0.077339354,807,490337690,8.07
India,1930,0.163786622,966,285470836,9.66
Sweden,1930,3.083085677,7159,6140565,71.59
United States,1930,13.84451386,9490,125841184,94.9
China,1931,0.081604866,810,493353328,8.1
India,1931,0.148110455,946,289141182,9.46
Sweden,1931,3.077859468,6976,6154563,69.76
United States,1931,11.68471417,8864,126924880,88.64
China,1932,0.077662535,829,497025237,8.29
India,1932,0.135958691,944,292858718,9.44
Sweden,1932,3.034987799,6703,6173895,67.03
United States,1932,9.832682017,7525,127777981,75.25
China,1933,0.084371962,736,500363002,7.36
India,1933,0.131774722,931,296624052,9.31
Sweden,1933,3.149856702,6814,6196513,68.14
United States,1933,10.47785197,7270,128574367,72.7
China,1934,0.097888685,747,503362284,7.47
India,1934,0.145273226,927,300437797,9.27
Sweden,1934,3.494631157,7255,6219497,72.55
United States,1934,11.08516709,7876,129397242,78.76
China,1935,0.113883833,804,506019077,8.04
India,1935,0.149858882,906,304300576,9.06
Sweden,1935,3.664335844,7588,6240428,75.88
United States,1935,11.44185187,8850,130246607,88.5
China,1936,0.127857198,850,508689890,8.5
India,1936,0.145412573,928,308213019,9.28
Sweden,1936,4.001550094,7840,6260266,78.4
United States,1936,13.04969482,9718,131090878,97.18
China,1937,0.118458871,825,511375057,8.25
India,1937,0.159024311,900,312175765,9
Sweden,1937,4.609594765,8033,6279424,80.33
United States,1937,13.55939128,10450,131979638,104.5
China,1938,0.107580531,800,514074577,8
India,1938,0.175766617,890,316189461,8.9
Sweden,1938,4.14842418,8280,6300941,82.8
United States,1938,11.38334777,9797,132950244,97.97
India,1939,0.169874358,897,320254762,8.97
Sweden,1939,4.632492752,8871,6325897,88.71
United States,1939,12.44416051,10459,134027827,104.59
India,1940,0.177872779,913,324372331,9.13
Sweden,1940,2.908302667,8202,6353380,82.02
United States,1940,13.84257821,11307,135198123,113.07
India,1941,0.179519247,919,328418401,9.19
Sweden,1941,2.356495603,7960,6384219,79.6
United States,1941,14.93879178,12844,136504604,128.44
India,1942,0.177197553,904,332390595,9.04
Sweden,1942,2.027353313,8009,6424889,80.09
United States,1942,15.8887431,14175,138078697,141.75
India,1943,0.152536608,929,336286486,9.29
Sweden,1943,2.444719107,8245,6479056,82.45
United States,1943,16.21944767,15392,139781842,153.92
India,1944,0.154194087,909,340228041,9.09
Sweden,1944,1.901744245,8466,6544838,84.66
United States,1944,17.24529515,16401,141509778,164.01
India,1945,0.169066362,884,344215794,8.84
Sweden,1945,0.688566447,8692,6614252,86.92
United States,1945,16.45996595,15992,143095078,159.92
India,1946,0.164923575,828,348641193,8.28
Sweden,1946,2.598948729,9538,6688095,95.38
United States,1946,15.53300404,14471,145048176,144.71
India,1947,0.165964553,822,353099593,8.22
Sweden,1947,3.711079788,10291,6763099,102.91
United States,1947,16.83774539,14057,147333413,140.57
India,1948,0.163782401,821,357915964,8.21
Sweden,1948,4.503277446,10410,6840998,104.1
United States,1948,17.18120151,14559,149992561,145.59
India,1949,0.168742008,831,366721344,8.31
Sweden,1949,3.874238669,10733,6927503,107.33
United States,1949,13.98504946,14112,154449957,141.12
China,1950,0.141856107,637,554419275,6.37
India,1950,0.176985735,824,376325200,8.24
Sweden,1950,4.088991702,11385,7009912,113.85
United States,1950,15.96896821,15241,158804395,152.41
China,1951,0.178584365,758,569611075,7.58
India,1951,0.182401865,829,382245303,8.29
Sweden,1951,4.728392288,11740,7073227,117.4
United States,1951,16.23547524,16126,160905035,161.26
China,1952,0.220301074,835,582029301,8.35
India,1952,0.189151112,838,388538620,8.38
Sweden,1952,4.84453723,11819,7127520,118.19
United States,1952,15.58293387,16443,163324851,164.43
China,1953,0.226307245,924,592567861,9.24
India,1953,0.189486504,874,395160091,8.74
Sweden,1953,4.537320921,12070,7175667,120.7
United States,1953,15.6983771,16917,165988190,169.17
China,1954,0.267880422,836,601971218,8.36
India,1954,0.195831532,894,402077026,8.94
Sweden,1954,4.778889495,12505,7220064,125.05
United States,1954,14.7076207,16513,168827613,165.13
China,1955,0.312508165,892,610834396,8.92
India,1955,0.208764418,899,409269055,8.99
Sweden,1955,5.384538341,12781,7262623,127.81
United States,1955,15.84387542,17370,171783842,173.7
China,1956,0.349175379,949,619597547,9.49
India,1956,0.212263453,933,416728771,9.33
Sweden,1956,5.939320546,13173,7304779,131.73
United States,1956,16.32040632,17398,174805941,173.98
China,1957,0.407839508,953,628551405,9.53
India,1957,0.233792388,904,424461108,9.04
Sweden,1957,5.287943797,13672,7347479,136.72
United States,1957,15.90437604,17407,177851156,174.07
China,1958,0.823670122,935,637853609,9.35
India,1958,0.239834853,952,432481663,9.52
Sweden,1958,5.69336058,13655,7391248,136.55
United States,1958,15.15290394,16945,180884458,169.45
China,1959,1.112107969,891,647555963,8.91
India,1959,0.249127249,954,440813896,9.54
Sweden,1959,5.700229106,14002,7436262,140.02
United States,1959,15.3526069,17901,183877873,179.01
China,1960,1.184424325,843,657686143,8.43
India,1960,0.268256382,1002,449480608,10.02
Sweden,1960,6.571364912,14677,7482543,146.77
United States,1960,15.45874324,18058,186808228,180.58
China,1961,0.824374935,697,668334897,6.97
India,1961,0.284393367,1009,458494963,10.09
Sweden,1961,6.480522264,15436,7530181,154.36
United States,1961,15.17160786,18175,189654905,181.75
China,1962,0.646345768,738,679732315,7.38
India,1962,0.306617645,1009,467852537,10.09
Sweden,1962,6.764580815,15997,7579566,159.97
United States,1962,15.50954668,18977,192397741,189.77
China,1963,0.629105702,825,692280490,8.25
India,1963,0.322636937,1037,477527970,10.37
Sweden,1963,7.248033706,16754,7631457,167.54
United States,1963,15.97827358,19515,195016211,195.15
China,1964,0.616741418,920,706460953,9.2
India,1964,0.309012861,1093,487484535,10.93
Sweden,1964,7.853543712,17765,7686730,177.65
United States,1964,16.47032674,20360,197491844,203.6
China,1965,0.656940864,999,722562183,9.99
India,1965,0.333455042,1026,497702365,10.26
Sweden,1965,8.077053051,18272,7745673,182.72
United States,1965,16.95660246,21390,199815540,213.9
China,1966,0.703964874,1006,740745642,10.06
India,1966,0.337861578,1014,508161935,10.14
Sweden,1966,9.286280004,18475,7809086,184.75
United States,1966,17.62186037,22529,201975222,225.29
China,1967,0.568138797,987,760771063,9.87
India,1967,0.331656421,1074,518889779,10.74
Sweden,1967,8.75197467,18954,7875907,189.54
United States,1967,18.10600678,22842,203981928,228.42
China,1968,0.598210257,939,782008729,9.39
India,1968,0.35304934,1076,529967317,10.76
Sweden,1968,9.771201815,19532,7942322,195.32
United States,1968,18.59480416,23692,205880418,236.92
China,1969,0.71672598,1008,803577221,10.08
India,1969,0.351613285,1124,541505076,11.24
Sweden,1969,10.7933445,20366,8003185,203.66
United States,1969,19.35899707,24196,207733004,241.96
China,1970,0.933775423,1115,824788457,11.15
India,1970,0.351763935,1155,553578513,11.55
Sweden,1970,11.45723002,21483,8054916,214.83
United States,1970,20.63809822,23958,209588150,239.58
China,1971,1.033749727,1154,845481578,11.54
India,1971,0.362629013,1140,566224812,11.4
Sweden,1971,10.43862598,21538,8095793,215.38
United States,1971,20.57729961,24395,211461598,243.95
China,1972,1.073014221,1142,865686530,11.42
India,1972,0.374831946,1110,579411513,11.1
Sweden,1972,10.42242482,21966,8127034,219.66
United States,1972,21.36589998,25415,213351773,254.15
China,1973,1.090946207,1207,885145933,12.07
India,1973,0.377032172,1135,593058926,11.35
Sweden,1973,10.70830663,22796,8151598,227.96
United States,1973,22.12329289,26603,215268687,266.03
China,1974,1.090162082,1211,903613538,12.11
India,1974,0.380832909,1122,607050255,11.22
Sweden,1974,9.765530918,23457,8173968,234.57
United States,1974,21.14442611,26287,217218393,262.87
China,1975,1.240141162,1272,920945083,12.72
India,1975,0.404301655,1194,621301720,11.94
Sweden,1975,9.852033806,23962,8197340,239.62
United States,1975,20.07613451,25956,219205296,259.56
China,1976,1.271015301,1211,937018252,12.11
India,1976,0.412933983,1184,635771734,11.84
Sweden,1976,10.73070338,24128,8223249,241.28
United States,1976,20.82437414,27059,221239215,270.59
China,1977,1.370275431,1262,951927444,12.62
India,1977,0.426832753,1247,650485030,12.47
Sweden,1977,10.39194984,23658,8250695,236.58
United States,1977,21.20401492,28001,223324042,280.01
China,1978,1.506415649,1392,966039822,13.92
India,1978,0.423047623,1285,665502284,12.85
Sweden,1978,9.601659959,24002,8277414,240.02
United States,1978,21.65877788,29287,225449657,292.87
China,1979,1.517647207,1483,979880619,14.83
India,1979,0.433679184,1192,680915804,11.92
Sweden,1979,10.22518499,24870,8300003,248.7
United States,1979,21.50283611,29951,227599878,299.51
China,1980,1.467874076,1539,993877310,15.39
India,1980,0.448467703,1249,696783517,12.49
Sweden,1980,8.623295562,25234,8316338,252.34
United States,1980,20.52861117,29613,229763052,296.13
China,1981,1.431331429,1565,1008000152,15.65
India,1981,0.472720037,1300,713118032,13
Sweden,1981,8.334531163,25200,8325493,252
United States,1981,19.53259506,30056,231938963,300.56
China,1982,1.536280858,1697,1022253396,16.97
India,1982,0.476545934,1312,729868013,13.12
Sweden,1982,7.474389908,25439,8329425,254.39
United States,1982,18.37407564,29211,234132632,292.11
China,1983,1.596540768,1776,1037123834,17.76
India,1983,0.504286492,1388,746949067,13.88
Sweden,1983,6.993024197,25873,8332443,258.73
United States,1983,18.34578618,30159,236344004,301.59
China,1984,1.711259709,1949,1053210735,19.49
India,1984,0.504980377,1410,764245202,14.1
Sweden,1984,6.871201753,26876,8340440,268.76
United States,1984,18.72905106,32076,238573861,320.76
China,1985,1.822616449,2089,1070863389,20.89
India,1985,0.542758241,1436,781666671,14.36
Sweden,1985,7.461991727,27349,8357652,273.49
United States,1985,18.62080157,33024,240824120,330.24
China,1986,1.882189821,2193,1090348056,21.93
India,1986,0.569415786,1466,799181436,14.66
Sweden,1986,7.395420867,27884,8384989,278.84
United States,1986,18.46102633,33851,243098935,338.51
China,1987,1.971538508,2339,1111341725,23.39
India,1987,0.595092578,1497,816792741,14.97
Sweden,1987,7.088846874,28634,8421056,286.34
United States,1987,19.07408078,34730,245402864,347.3
China,1988,2.07240996,2429,1132866344,24.29
India,1988,0.629225148,1618,834489322,16.18
Sweden,1988,6.784109207,29113,8464787,291.13
United States,1988,19.72066984,35865,247739582,358.65
China,1989,2.069136241,2410,1153565894,24.1
India,1989,0.676316806,1690,852270034,16.9
Sweden,1989,6.521080399,29606,8514206,296.06
United States,1989,19.78312788,36757,250113187,367.57
China,1990,2.064320028,2379,1172445200,23.79
India,1990,0.70860289,1742,870133480,17.42
Sweden,1990,6.712240612,29749,8567384,297.49
United States,1990,20.27983002,36982,252529950,369.82
China,1991,2.135014421,2460,1189183522,24.6
India,1991,0.739527378,1736,888054875,17.36
Sweden,1991,6.691313244,29187,8625137,291.87
United States,1991,19.88760859,36464,254974819,364.64
China,1992,2.206896841,2631,1204003901,26.31
India,1992,0.771236945,1797,906021106,17.97
Sweden,1992,6.61319493,28668,8686738,286.68
United States,1992,20.09700214,37241,257454273,372.41
China,1993,2.329905181,2889,1217129133,28.89
India,1993,0.782304144,1865,924057817,18.65
Sweden,1993,6.561927965,27917,8746776,279.17
United States,1993,20.32414469,37762,260020186,377.62
China,1994,2.449358804,3107,1228991932,31.07
India,1994,0.811121333,1949,942204249,19.49
Sweden,1994,6.801989165,28832,8798234,288.32
United States,1994,20.46873367,38808,262741566,388.08
China,1995,2.633237861,3367,1239940004,33.67
India,1995,0.84484677,2053,960482795,20.53
Sweden,1995,6.708160803,29811,8836420,298.11
United States,1995,20.47442927,39391,265658849,393.91
China,1996,2.726717757,3590,1249981441,35.9
India,1996,0.89777613,2177,978893217,21.77
Sweden,1996,7.133159549,30243,8859191,302.43
United States,1996,20.93048754,40414,268803424,404.14
China,1997,2.711967955,3708,1259066974,37.08
India,1997,0.917429751,2229,997405318,22.29
Sweden,1997,6.554704499,31043,8868853,310.43
United States,1997,20.95966413,41723,272136551,417.23
China,1998,2.576767932,3747,1267441503,37.47
India,1998,0.918871171,2336,1015974042,23.36
Sweden,1998,6.619105074,32330,8870848,323.3
United States,1998,20.87635134,43073,275542603,430.73
China,1999,2.55458505,3926,1275406699,39.26
India,1999,0.962006136,2443,1034539214,24.43
Sweden,1999,6.295091238,33810,8873100,338.1
United States,1999,20.91444652,44576,278862277,445.76
Cambodia,2000,0.162511395,1285,12446949,12.85
Cameroon,2000,0.219051759,2337,15678269,23.37
Canada,2000,18.62750418,38108,30667365,381.08
Chile,2000,3.807549692,14159,15419820,141.59
China,2000,2.610113361,4202,1283198970,42.02
China,2000,2.610113361,4202,1269116737,42.02
Colombia,2000,1.391341798,8475,39764166,84.75
Costa Rica,2000,1.3742338,9171,3919180,91.71
Cote d'Ivoire,2000,0.387335413,2912,16581653,29.12
Croatia,2000,4.475025535,15627,4505533,156.27
Cuba,2000,2.326684014,4882,11104313,48.82
Cyprus,2000,7.536271608,24719,943294,247.19
Czech Republic,2000,12.33254824,19616,10242890,196.16
Denmark,2000,10.16767984,41548,5339501,415.48
Dominican Republic,2000,2.288279688,8272,8591967,82.72
