countryName,year,CO2EmsnPerCapita,GDPPerCapita_2011USDValue,Population,GdpPercap_100USD
Ecuador,2000,1.628258405,7455,12345023,74.55
El Salvador,2000,0.964766204,6409,5940305,64.09
Estonia,2000,10.9799697,14074,1370749,140.74
Ethiopia,2000,0.052057802,703,65577897,7.03
Finland,2000,10.99499571,32957,5173370,329.57
France,2000,7.056960323,33967,59047795,339.67
Gabon,2000,3.793182292,17603,1235274,176.03
Georgia,2000,0.952849018,4646,4745765,46.46
Germany,2000,11.05638595,37776,82349027,377.76
Ghana,2000,0.322119581,2084,19165490,20.84
Greece,2000,9.242613345,23136,10986883,231.36
Guatemala,2000,0.838211457,5729,11237101,57.29
Haiti,2000,0.159859636,1806,8645371,18.06
Honduras,2000,0.756275182,3638,6218151,36.38
Hungary,2000,5.728536194,16386,10210545,163.86
Iceland,2000,10.46225963,31742,281210,317.42
India,2000,0.977766362,2505,1053050912,25.05
India,2000,0.977766362,2505,1053898107,25.05
Indonesia,2000,1.257363357,5664,213395411,56.64
Iraq,2000,3.043248677,7920,23857458,79.2
Ireland,2000,11.74242216,43959,3803780,439.59
Israel,2000,9.897230426,25136,6014953,251.36
Italy,2000,8.216742406,35333,56986329,353.33
Jamaica,2000,3.882016422,7251,2581648,72.51
Japan,2000,9.901164516,32988,125720310,329.88
Jordan,2000,2.978571418,8713,4827096,87.13
Kazakhstan,2000,8.868667378,9870,14956694,98.7
Kenya,2000,0.327548857,2320,31253701,23.2
Kuwait,2000,26.03160394,74597,1940786,745.97
Latvia,2000,2.977584037,10399,2384972,103.99
Lebanon,2000,4.780375389,10693,3742329,106.93
Libya,2000,8.736961761,22225,5231189,222.25
Lithuania,2000,3.366242107,10796,3500028,107.96
Luxembourg,2000,19.88720545,47973,435491,479.73
Malaysia,2000,5.371409134,14598,23414909,145.98
Malta,2000,6.481159433,20524,397420,205.24
Mauritius,2000,2.269237941,11748,1196027,117.48
Mexico,2000,3.911727735,13821,99959594,138.21
Moldova,2000,0.850482339,2453,4106736,24.53
Mongolia,2000,3.122855417,4958,2411369,49.58
Morocco,2000,1.163859865,4818,28793236,48.18
Mozambique,2000,0.073211983,502,18200656,5.02
Myanmar,2000,0.217863046,1573,44957660,15.73
Namibia,2000,0.864270607,6067,1895839,60.67
Nepal,2000,0.127965467,1649,24400606,16.49
Netherlands,2000,10.79579126,40385,15862825,403.85
New Zealand,2000,8.385376117,27284,3858032,272.84
Nicaragua,2000,0.740245065,3474,5073704,34.74
Niger,2000,0.061015131,683,10922421,6.83
Nigeria,2000,0.619196674,2774,123688536,27.74
Norway,2000,9.382627592,75434,4490859,754.34
Oman,2000,9.585437089,46595,2264163,465.95
Pakistan,2000,0.761015552,3512,144522192,35.12
Panama,2000,1.88658554,10204,2956126,102.04
Paraguay,2000,0.689060869,5072,5343539,50.72
Peru,2000,1.16065632,6217,25861887,62.17
Philippines,2000,0.927618669,4390,77309965,43.9
Poland,2000,8.225504249,14132,38302444,141.32
Portugal,2000,6.377942954,24400,10336209,244
Qatar,2000,58.36244528,128455,590957,1284.55
Romania,2000,4.227125845,10050,22191683,100.5
Saudi Arabia,2000,14.27224367,42574,20045276,425.74
Senegal,2000,0.385399233,1862,9505862,18.62
Serbia,2000,4.150731831,7707,10133561,77.07
Singapore,2000,12.48257547,42646,3919300,426.46
Slovenia,2000,7.759668775,20514,1985406,205.14
South Africa,2000,8.260328551,9340,44760380,93.4
Spain,2000,7.625862087,29481,40288457,294.81
Sri Lanka,2000,0.539551181,5564,18745084,55.64
Sudan,2000,0.202894218,2388,27193105,23.88
Sweden,2000,6.161585079,35261,8881640,352.61
Sweden,2000,6.161585079,35261,8860153,352.61
Switzerland,2000,6.08488853,52804,7167908,528.04
Tajikistan,2000,0.359073417,1661,6172807,16.61
Tanzania,2000,0.07522218,1534,34038161,15.34
Thailand,2000,2.847357444,8977,63155029,89.77
Togo,2000,0.26786191,1282,4793504,12.82
Trinidad and Tobago,2000,18.74319674,16372,1292058,163.72
Tunisia,2000,2.028036335,7738,9456117,77.38
Turkey,2000,3.574152593,13339,63627862,133.39
Turkmenistan,2000,8.295948851,4733,4501419,47.33
Ukraine,2000,5.723534383,6201,48891792,62.01
United Arab Emirates,2000,35.43287622,121397,3033491,1213.97
United Kingdom,2000,9.619224686,31619,58874117,316.19
United States,2000,21.28004451,45887,281982778,458.87
United States,2000,21.28004451,45887,282496310,458.87
Uruguay,2000,1.585897334,12932,3319066,129.32
Uzbekistan,2000,4.88776317,3928,24775610,39.28
Vietnam,2000,0.651824493,2663,78758010,26.63
