CountryName,Year,perCapitaEnergyConsumption,PctPopulationInExtremePoverty,Population,CO2EmsnPerCapita,GDPPerCapita_2011USDValue
Cuba,1974,14262.9041,0,9298895,2.456727409,5254
Cuba,1975,14451.27039,0,9420828,2.864410715,5436
Cuba,1976,15005.78339,0,9525242,2.847885291,5513
Cuba,1977,16164.21382,0,9614061,3.045772903,5698
Cuba,1978,16991.32137,0,9689324,3.152899986,5990
Cuba,1979,17304.51277,0,9754343,3.235263091,6092
Cuba,1980,17313.52306,0,9812223,3.182887524,5979
Cuba,1981,17326.97934,0,9862283,3.300951264,6438
Cuba,1982,17487.86074,0,9905577,3.467856636,6534
Cuba,1983,18352.67014,0,9949046,3.079944298,6852
Cuba,1984,17865.94907,0,10001593,3.238207873,7356
Cuba,1985,17640.56196,0,10069187,3.213839339,7455
Cuba,1986,17432.53457,0,10155111,3.28234848,7392
Cuba,1987,17993.85099,0,10256694,3.284791577,7117
Cuba,1988,18699.85097,0,10366500,3.410425236,7272
Cuba,1989,20310.66825,0,10473701,3.386544774,7268
Cuba,1990,19132.09597,0,10570328,3.129501949,6864
Cuba,1991,15710.12506,0,10654121,2.771228475,5696
Cuba,1992,13675.16271,0,10727088,2.900580808,4777
Cuba,1993,11357.97195,0,10790686,2.712964956,3668
Cuba,1994,11644.37112,0,10847842,2.962675099,3637
Cuba,1995,11582.30503,0,10900795,2.346056941,3810
Cuba,1996,12583.92209,0,10949206,2.451642992,4251
Cuba,1997,12866.83456,0,10992290,2.225271513,4401
Cuba,1998,12006.90477,0,11031429,2.201483312,4310
Cuba,1999,12440.27887,0,11068382,2.266691526,4492
Cuba,2000,13284.82516,0,11104313,2.326684014,4882
Cuba,2001,12938.20349,0,11140168,2.264523597,5061
Cuba,2002,12022.21244,0,11175434,2.314637277,5133
Cuba,2003,11933.96032,0,11208029,2.254812758,5201
Cuba,2004,11641.18517,0,11234970,2.206983309,5170
Cuba,2005,10996.53478,0,11254242,2.290594393,5248
Cuba,2006,10967.63183,0,11265124,2.410375965,5923
Cuba,2007,10433.78578,0,11268687,2.35298789,6054
Cuba,2008,11072.24762,0,11266905,2.674332851,6336
Cuba,2009,11727.70612,0,11262628,2.6244557,6476
Cuba,2010,12666.24137,0,11257979,3.368216937,6697
Cuba,2011,11886.88392,0,11253665,3.150413751,6928
Cuba,2012,12253.82982,0,11249266,3.15642303,7138
Cuba,2013,11752.88568,0,11244424,3.030886974,7379
Cyprus,1971,10999.88923,0,620987,3.033724404,8965
Cyprus,1972,13824.06289,0,628140,3.83101807,9484
Cyprus,1973,14318.88048,0,635261,3.94175393,9609
Cyprus,1974,10754.80647,0,642496,3.002595327,7899
Cyprus,1975,10108.58039,0,649918,3.063683096,6714
Cyprus,1976,11611.90589,0,657685,3.782796601,8078
Cyprus,1977,12494.8826,0,665676,4.055253303,9356
Cyprus,1978,13066.50368,0,673386,4.225005473,10027
Cyprus,1979,14051.34393,0,680130,4.477622656,10943
Cyprus,1980,14671.40333,0,685510,4.756171131,11479
Cyprus,1981,14329.33898,0,689265,4.490848945,11697
Cyprus,1982,14512.20394,0,691792,4.563293557,12305
Cyprus,1983,15008.67639,0,694146,4.539288739,12806
Cyprus,1984,15435.53598,0,697782,4.634890794,13759
Cyprus,1985,15197.78367,0,703752,4.468464431,14240
Cyprus,1986,16984.58594,0,712396,5.061119913,14721
Cyprus,1987,19021.49218,0,723434,5.783995853,15536
Cyprus,1988,19098.91527,0,736531,5.698227078,16698
Cyprus,1989,19490.50579,0,751100,5.896522361,17868
Cyprus,1990,20709.57817,0,766663,6.056575878,18897
Cyprus,1991,20688.57465,0,783189,6.552967736,18551
Cyprus,1992,22780.84532,0,800707,6.878707496,19755
Cyprus,1993,23916.8758,0,818858,7.024566016,19418
Cyprus,1994,26729.49418,0,837205,7.160376904,20144
Cyprus,1995,23043.61595,0,855424,6.855769631,21744
Cyprus,1996,25092.29593,0,873277,7.115083493,21686
Cyprus,1997,24096.5271,0,890758,7.070531479,21929
Cyprus,1998,25292.64936,0,908059,7.256217085,22796
Cyprus,1999,24950.0768,0,925504,7.408666422,23631
Cyprus,2000,26346.79798,0,943294,7.536271608,24719
Cyprus,2001,25605.55446,0,961482,7.271031947,25335
Cyprus,2002,25512.46537,0,979874,7.339846115,25897
Cyprus,2003,27293.27641,0,998134,7.60921543,26218
Cyprus,2004,25139.7964,0,1015806,7.70751581,27052
Cyprus,2005,25116.1795,0,1032562,7.757609672,27658
Cyprus,2006,25678.16265,0,1048272,7.8056189,28427
Cyprus,2007,26658.596,0,1063027,7.965138214,29170
Cyprus,2008,27779.29561,0,1077001,7.983070519,29546
Cyprus,2009,26746.79914,0,1090473,7.633896497,28253
Cyprus,2010,25531.89147,0,1103647,7.206387305,27887
Cyprus,2011,24484.08972,0,1116564,6.845621918,27272
Cyprus,2012,22815.55334,0,1129166,6.316770925,26011
Cyprus,2013,19628.94453,0,1141453,5.677840416,24519
Czech Republic,1971,53712.09331,0,9819749,16.44876217,11984
Czech Republic,1972,53658.26827,0,9855516,16.52439798,12572
Czech Republic,1973,52931.58355,0,9896416,16.49777961,13094
Czech Republic,1974,48784.17707,0,9942472,16.58437585,13638
Czech Republic,1975,50508.62906,0,9993206,17.24249088,14306
Czech Republic,1976,51619.0989,0,10049465,17.7978421,14780
Czech Republic,1977,54852.46121,0,10110020,18.20981352,15194
Czech Republic,1978,51518.60384,0,10169747,18.26103209,15743
Czech Republic,1979,54696.32083,0,10221861,17.69390652,15884
Czech Republic,1980,53001.60469,0,10261606,17.83799152,16110
Czech Republic,1981,53125.03194,0,10286947,17.61306118,16070
Czech Republic,1982,53888.9002,0,10299490,17.44010346,15814
Czech Republic,1983,54039.6614,0,10302679,17.48032696,16065
Czech Republic,1984,55137.49357,0,10301798,18.09274815,16421
Czech Republic,1985,55408.44078,0,10300844,17.86101886,16789
Czech Republic,1986,56288.45481,0,10300475,17.9890292,17252
Czech Republic,1987,57897.10501,0,10299854,17.8414601,17649
Czech Republic,1988,56710.45103,0,10299711,17.53993392,18012
Czech Republic,1989,55114.60227,0,10300582,16.94820837,18318
Czech Republic,1990,55788.42916,0,10302718,15.88093203,18517
Czech Republic,1991,50581.61745,0,10307130,14.35353868,16409
Czech Republic,1992,49106.70477,0,10313662,13.91575327,16310
Czech Republic,1993,47559.82103,0,10319923,13.31818125,16309
Czech Republic,1994,46093.34291,0,10322561,12.69466621,16778
Czech Republic,1995,46750.33075,0,10319337,12.74051469,17832
Czech Republic,1996,48298.67195,0.2,10310016,13.00882114,18618
Czech Republic,1997,48670.20887,0,10295984,12.65643344,18512
Czech Republic,1998,47187.62977,0,10278707,12.12048317,18471
Czech Republic,1999,43995.00148,0,10260335,11.29771925,18756
Czech Republic,2000,46380.88768,0,10242890,12.33254824,19616
