CountryName,Year,perCapitaEnergyConsumption,PctPopulationInExtremePoverty,Population,CO2EmsnPerCapita,GDPPerCapita_2011USDValue,CO2EmsnPerCapita1,GDPPerCapita_2011USDValue1
Guinea,2007,0,59.7,9373619,0.194871863,1322,194.871863,1.322
Guinea-Bissau,2007,764.0954993,0,1424191,0.159639492,1270,159.639492,1.27
Guyana,2007,7775.42591,0,750068,2.087082096,,2087.082096,0
Haiti,2007,4471.927492,0,9608453,0.247047516,1641,247.047516,1.641
Honduras,2007,7075.961831,17.2,7158819,1.115514495,4373,1115.514495,4.373
Hungary,2007,30912.96302,0,10042572,5.838284934,21422,5838.284934,21.422
Iceland,2007,171496.3445,0,305721,11.44805836,40486,11448.05836,40.486
India,2007,5658.582101,0,1173971629,1.17849928,3740,1178.49928,3.74
Indonesia,2007,9141.095999,22.5,232461746,1.618627471,7290,1618.627471,7.29
Iraq,2007,10395.24137,0,28960581,2.165932309,10056,2165.932309,10.056
Ireland,2007,39728.4399,0,4291258,10.82813909,54749,10828.13909,54.749
Israel,2007,33705.52367,0.5,6920182,9.071611154,27265,9071.611154,27.265
Italy,2007,36629.57532,0.7,59495243,8.100879169,37341,8100.879169,37.341
Jamaica,2007,17533.90739,0,2709042,3.465022268,7689,3465.022268,7.689
Japan,2007,46667.16887,0,126515486,10.11672257,35805,10116.72257,35.805
Jordan,2007,13537.49403,0,5667443,3.461380148,11484,3461.380148,11.484
Kazakhstan,2007,49636.75929,0.3,15476093,13.4594798,18572,13459.4798,18.572
Kenya,2007,5206.003638,0,37485246,0.250497532,2553,250.497532,2.553
Kiribati,2007,1328.301025,0,95043,0.532607906,,532.607906,0
Kuwait,2007,122017.2088,0,2447818,29.90911516,95421,29909.11516,95.421
Latvia,2007,25351.23555,0.5,2281693,3.93677263,20410,3936.77263,20.41
Lebanon,2007,12024.58088,0,4134872,3.365454268,12888,3365.454268,12.888
Lesotho,2007,111.472254,0,2106128,1.046177471,1921,1046.177471,1.921
Liberia,2007,0,68.6,3477197,0.184941354,618,184.941354,0.618
Libya,2007,32546.87825,0,6023053,8.264112779,27953,8264.112779,27.953
Liechtenstein,2007,0,0,35266,5.683834154,,5683.834154,0
Lithuania,2007,34043.81542,1.2,3379043,4.835223667,20131,4835.223667,20.131
Luxembourg,2007,102040.4187,0,475714,23.737755,57471,23737.755,57.471
Madagascar,2007,0,0,18980391,0.091771466,1448,91.771466,1.448
Malawi,2007,0,0,13589404,0.062586479,966,62.586479,0.966
Malaysia,2007,31611.31767,0.5,27051142,6.852580292,17718,6852.580292,17.718
Maldives,2007,10347.15982,0,303539,2.322230488,,2322.230488,0
Mali,2007,0,0,14020786,0.073678636,1392,73.678636,1.392
Malta,2007,25080.74392,0.5,412608,6.716754029,23085,6716.754029,23.085
Marshall Islands,2007,7138.116884,0,52487,1.897462455,,1897.462455,0
Mauritania,2007,0,0,3212672,0.494407977,3123,494.407977,3.123
Mauritius,2007,11718.0954,0,1275650,2.987236519,14459,2987.236519,14.459
Mexico,2007,18875.15415,0,109220753,4.312779146,15181,4312.779146,15.181
Moldova,2007,10915.87987,1.1,3671540,1.205855378,4041,1205.855378,4.041
Monaco,2007,0,0,35295,0,,0,0
Mongolia,2007,16021.21161,1.3,2624509,4.660602623,7497,4660.602623,7.497
Montenegro,2007,22422.39451,0.4,627962,3.631564334,14265,3631.564334,14.265
Morocco,2007,5798.68438,0,31011199,1.608615007,6259,1608.615007,6.259
Mozambique,2007,4779.092382,0,21811326,0.098571306,779,98.571306,0.779
Myanmar,2007,3707.283873,0,46915826,0.260212542,3344,260.212542,3.344
Namibia,2007,7641.580122,0,2158984,1.13447713,7553,1134.47713,7.553
Nauru,2007,0,0,10154,4.395920816,,4395.920816,0
Nepal,2007,4129.439822,0,28373838,0.098349947,1916,98.349947,1.916
Netherlands,2007,57090.48677,0,16443483,10.45616253,45037,10456.16253,45.037
New Zealand,2007,47153.7769,0,4232461,8.655974287,31982,8655.974287,31.982
Nicaragua,2007,6069.374514,0,5563654,0.824039799,4004,824.039799,4.004
Niger,2007,1474.661595,72,13945662,0.048874296,762,48.874296,0.762
Nigeria,2007,8731.607678,0,146951477,0.645116274,4192,645.116274,4.192
Norway,2007,68177.58674,0.2,4722016,9.715108118,84535,9715.108118,84.535
Oman,2007,77296.90104,0,2561187,16.19796413,46233,16197.96413,46.233
Pakistan,2007,6091.369097,13.2,164445596,0.972003213,4326,972.003213,4.326
Palau,2007,0,0,20118,12.93219328,,12932.19328,0
Panama,2007,10263.27068,7.8,3350673,2.05282177,13642,2052.82177,13.642
Papua New Guinea,2007,0,0,6396307,0.922644533,,922.644533,0
Paraguay,2007,8243.146145,7.8,6119295,0.684319712,6466,684.319712,6.466
Peru,2007,5892.590405,11.1,28166078,1.498662283,8225,1498.662283,8.225
Philippines,2007,5033.542606,0,88652631,0.792488625,5334,792.488625,5.334
Poland,2007,29393.75983,0,38189762,8.723436302,18766,8723.436302,18.766
Portugal,2007,27940.21898,0.2,10608036,5.857895187,25879,5857.895187,25.879
Puerto Rico,2007,0,0,3765404,0,34607,0,34.607
Qatar,2007,216404.4522,0,1178192,52.87296833,142477,52872.96833,142.477
Romania,2007,22144.64679,5.7,21644886,5.160635105,16369,5160.635105,16.369
Rwanda,2007,0,0,9710531,0.057739358,1167,57.739358,1.167
Samoa,2007,3700.448745,0,181277,0.944713253,,944.713253,0
San Marino,2007,0,0,31007,0,,0,0
Sao Tome and Principe,2007,3137.442444,0,157361,0.51668598,2801,516.68598,2.801
Saudi Arabia,2007,64624.57659,0,25504176,15.30565652,44493,15305.65652,44.493
Senegal,2007,2941.146128,0,11474661,0.406503714,2089,406.503714,2.089
Serbia,2007,26146.04306,0,9832994,5.712601997,11753,5712.601997,11.753
Seychelles,2007,28037.93821,0,84975,7.102269581,20752,7102.269581,20.752
Sierra Leone,2007,0,0,5478289,0.085883323,1324,85.883323,1.324
Singapore,2007,54395.88608,0,4584894,4.207091009,54183,4207.091009,54.183
Slovenia,2007,42246.73474,0,2012345,8.571952309,27361,8571.952309,27.361
Solomon Islands,2007,1509.960644,0,496490,0.364214712,,364.214712,0
Somalia,2007,0,0,8733493,0.055099761,,55.099761,0
South Africa,2007,31783.83566,0,48842462,9.300485429,11409,9300.485429,11.409
South Sudan,2007,0,0,8260226,0.132795592,,132.795592,0
Spain,2007,36983.78867,0.4,44604384,8.10976681,33801,8109.76681,33.801
Sri Lanka,2007,5436.367583,0,20272269,0.613368315,7156,613.368315,7.156
Sudan,2007,4262.343153,0,32113409,0.437194041,3480,437.194041,3.48
Suriname,2007,12968.97704,0,510136,3.446838367,,3446.838367,0
Sweden,2007,63640.93461,0.5,9161374,5.763950348,42872,5763.950348,42.872
Switzerland,2007,39667.83524,0,7521613,5.735155333,58612,5735.155333,58.612
Tajikistan,2007,4193.234855,10.4,6604426,0.448003494,2612,448.003494,2.612
Tanzania,2007,5130.829197,59.9,41068185,0.136206664,1949,136.206664,1.949
Thailand,2007,18488.79725,0.3,67796451,3.764087851,12376,3764.087851,12.376
Togo,2007,4764.557676,0,5652811,0.252902223,1192,252.902223,1.192
Tonga,2007,6590.072003,0,102254,1.109684731,,1109.684731,0
Trinidad and Tobago,2007,169891.1548,0,1325672,34.63727703,29083,34637.27703,29.083
Tunisia,2007,10207.83852,0,10130368,2.299878578,10023,2299.878578,10.023
Turkey,2007,16710.50431,1.4,69992754,4.495326451,16771,4495.326451,16.771
Turkmenistan,2007,53439.07505,0,4858843,11.47609017,11337,11476.09017,11.337
Tuvalu,2007,0,0,9762,1.073123108,,1073.123108,0
Uganda,2007,0,0,30339895,0.092032426,1562,92.032426,1.562
Ukraine,2007,34845.93091,0.1,46282158,7.256467911,11067,7256.467911,11.067
United Arab Emirates,2007,96479.3939,0,5405541,22.06080646,91056,22060.80646,91.056
United Kingdom,2007,40026.27575,0.2,60896101,9.107304032,36679,9107.304032,36.679
United States,2007,90227.47041,1,302284564,20.39614762,50902,20396.14762,50.902
Uruguay,2007,11023.39275,0.3,3335528,1.780530598,13930,1780.530598,13.93
Uzbekistan,2007,20677.14876,0,26503833,4.375481064,5549,4375.481064,5.549
Vanuatu,2007,1850.622633,0,222377,0.449768814,,449.768814,0
Vietnam,2007,6158.945385,0,85007447,1.171006194,3978,1171.006194,3.978
World,2007,21185.4057,0,0,4.604889555,,4604.889555,0
Zambia,2007,6845.48627,0,12055384,0.146755526,2616,146.755526,2.616
Zimbabwe,2007,8419.339907,0,12481245,0.737740533,1431,737.740533,1.431
